Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-6,0,3.0296,0,250,112,0.16,0.158
-5,0,3.8587,0,250,112,0.16,0.158
-4,0,4.5735,0,250,112,0.16,0.158
-3,0,5.1952,0,250,112,0.16,0.158
-2,0,5.6446,0,250,112,0.16,0.158
-1,0,5.9497,0,250,112,0.16,0.158
0,0,5.7662,0,250,112,0.16,0.158
1,0,4.7954,0,250,112,0.16,0.158
2,0,4.2599,0,250,112,0.16,0.158
3,0,2.0012,0,250,112,0.16,0.158
4,0,0.34407,0,250,112,0.16,0.158
5,0,-0.94309,0,250,112,0.16,0.158
-6,5,3.0415,0,250,112,0.16,0.158
-5,5,3.8254,0,250,112,0.16,0.158
-4,5,4.5948,0,250,112,0.16,0.158
-3,5,5.2458,0,250,112,0.16,0.158
-2,5,5.809,0,250,112,0.16,0.158
-1,5,6.0574,0,250,112,0.16,0.158
0,5,6.058,0,250,112,0.16,0.158
1,5,5.5747,0,250,112,0.16,0.158
2,5,4.2671,0,250,112,0.16,0.158
3,5,2.9934,0,250,112,0.16,0.158
4,5,1.3321,0,250,112,0.16,0.158
5,5,0.23736,0,250,112,0.16,0.158
-6,10,2.9396,0,250,112,0.16,0.158
-5,10,3.8576,0,250,112,0.16,0.158
-4,10,4.5207,0,250,112,0.16,0.158
-3,10,5.2493,0,250,112,0.16,0.158
-2,10,5.8208,0,250,112,0.16,0.158
-1,10,6.1434,0,250,112,0.16,0.158
0,10,6.3387,0,250,112,0.16,0.158
1,10,5.9802,0,250,112,0.16,0.158
2,10,4.8025,0,250,112,0.16,0.158
3,10,3.1971,0,250,112,0.16,0.158
4,10,2.3365,0,250,112,0.16,0.158
5,10,-0.9382299999999999,0,250,112,0.16,0.158
-6,15,2.9339999999999997,0,250,112,0.16,0.158
-5,15,3.7960000000000003,0,250,112,0.16,0.158
-4,15,4.5346,0,250,112,0.16,0.158
-3,15,5.1952,0,250,112,0.16,0.158
-2,15,5.9318,0,250,112,0.16,0.158
-1,15,6.3788,0,250,112,0.16,0.158
0,15,6.5244,0,250,112,0.16,0.158
1,15,6.4498,0,250,112,0.16,0.158
2,15,5.8662,0,250,112,0.16,0.158
3,15,3.9707,0,250,112,0.16,0.158
4,15,3.1662,0,250,112,0.16,0.158
5,15,1.2441,0,250,112,0.16,0.158
-6,20,2.8488,0,250,112,0.16,0.158
-5,20,3.6763,0,250,112,0.16,0.158
-4,20,4.5006,0,250,112,0.16,0.158
-3,20,5.2046,0,250,112,0.16,0.158
-2,20,5.9025,0,250,112,0.16,0.158
-1,20,6.4115,0,250,112,0.16,0.158
0,20,6.6507,0,250,112,0.16,0.158
1,20,6.5229,0,250,112,0.16,0.158
2,20,6.1007,0,250,112,0.16,0.158
3,20,5.5063,0,250,112,0.16,0.158
4,20,3.0495,0,250,112,0.16,0.158
5,20,2.0253,0,250,112,0.16,0.158
-6,25,2.8049,0,250,112,0.16,0.158
-5,25,3.635,0,250,112,0.16,0.158
-4,25,4.4669,0,250,112,0.16,0.158
-3,25,5.2026,0,250,112,0.16,0.158
-2,25,5.9214,0,250,112,0.16,0.158
-1,25,6.5498,0,250,112,0.16,0.158
0,25,6.808,0,250,112,0.16,0.158
1,25,6.8567,0,250,112,0.16,0.158
2,25,6.5092,0,250,112,0.16,0.158
3,25,5.6795,0,250,112,0.16,0.158
4,25,3.7212,0,250,112,0.16,0.158
5,25,2.3597,0,250,112,0.16,0.158
-6,30,2.7846,0,250,112,0.16,0.158
-5,30,3.6189999999999998,0,250,112,0.16,0.158
-4,30,4.3132,0,250,112,0.16,0.158
-3,30,5.0468,0,250,112,0.16,0.158
-2,30,5.8404,0,250,112,0.16,0.158
-1,30,6.3767,0,250,112,0.16,0.158
0,30,6.8366,0,250,112,0.16,0.158
