Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,4.7771,0.0,10,100,250,112,0.16,0.158
-8,5.5073,0.0,10,100,250,112,0.16,0.158
-7,6.0864,0.0,10,100,250,112,0.16,0.158
-6,6.438,0.0,10,100,250,112,0.16,0.158
-5,6.3587,0.0,10,100,250,112,0.16,0.158
-4,6.1787,0.0,10,100,250,112,0.16,0.158
-3,4.5756,0.0,10,100,250,112,0.16,0.158
-2,3.9443,0.0,10,100,250,112,0.16,0.158
-1,1.53,0.0,10,100,250,112,0.16,0.158
0,-0.0069518,0.0,10,100,250,112,0.16,0.158
1,-2.9455,0.0,10,100,250,112,0.16,0.158
2,-6.9251,0.0,10,100,250,112,0.16,0.158
-9,4.8687,1.0,10,100,250,112,0.16,0.158
-8,5.6586,1.0,10,100,250,112,0.16,0.158
-7,6.2002,1.0,10,100,250,112,0.16,0.158
-6,6.5895,1.0,10,100,250,112,0.16,0.158
-5,6.5691,1.0,10,100,250,112,0.16,0.158
-4,6.2859,1.0,10,100,250,112,0.16,0.158
-3,5.3292,1.0,10,100,250,112,0.16,0.158
-2,3.7346,1.0,10,100,250,112,0.16,0.158
-1,1.8873,1.0,10,100,250,112,0.16,0.158
0,0.7458199999999999,1.0,10,100,250,112,0.16,0.158
1,-1.4561,1.0,10,100,250,112,0.16,0.158
2,-6.4975,1.0,10,100,250,112,0.16,0.158
-9,4.9043,2.0,10,100,250,112,0.16,0.158
-8,5.5884,2.0,10,100,250,112,0.16,0.158
-7,6.1934,2.0,10,100,250,112,0.16,0.158
-6,6.4985,2.0,10,100,250,112,0.16,0.158
-5,6.7917,2.0,10,100,250,112,0.16,0.158
-4,6.4306,2.0,10,100,250,112,0.16,0.158
-3,5.084,2.0,10,100,250,112,0.16,0.158
-2,4.6744,2.0,10,100,250,112,0.16,0.158
-1,2.4918,2.0,10,100,250,112,0.16,0.158
0,0.98269,2.0,10,100,250,112,0.16,0.158
1,-1.7803,2.0,10,100,250,112,0.16,0.158
2,-3.9101,2.0,10,100,250,112,0.16,0.158
-9,4.907,3.0,10,100,250,112,0.16,0.158
-8,5.6552,3.0,10,100,250,112,0.16,0.158
-7,6.172000000000001,3.0,10,100,250,112,0.16,0.158
-6,6.7831,3.0,10,100,250,112,0.16,0.158
-5,6.9373,3.0,10,100,250,112,0.16,0.158
-4,6.7476,3.0,10,100,250,112,0.16,0.158
-3,5.7732,3.0,10,100,250,112,0.16,0.158
-2,5.3698,3.0,10,100,250,112,0.16,0.158
-1,3.1830000000000003,3.0,10,100,250,112,0.16,0.158
0,0.9159700000000001,3.0,10,100,250,112,0.16,0.158
1,-0.49456999999999995,3.0,10,100,250,112,0.16,0.158
2,-3.6106,3.0,10,100,250,112,0.16,0.158
-9,4.8828,4.0,10,100,250,112,0.16,0.158
-8,5.6818,4.0,10,100,250,112,0.16,0.158
-7,6.412999999999999,4.0,10,100,250,112,0.16,0.158
-6,6.9264,4.0,10,100,250,112,0.16,0.158
-5,7.1299,4.0,10,100,250,112,0.16,0.158
-4,7.0467,4.0,10,100,250,112,0.16,0.158
-3,5.8716,4.0,10,100,250,112,0.16,0.158
-2,5.3921,4.0,10,100,250,112,0.16,0.158
-1,3.8985,4.0,10,100,250,112,0.16,0.158
0,1.8286,4.0,10,100,250,112,0.16,0.158
1,-0.53059,4.0,10,100,250,112,0.16,0.158
2,-2.5117,4.0,10,100,250,112,0.16,0.158
