Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-7,0,6.9083,0,250,112,0.16,0.158
2,0,-0.10562,0,250,112,0.16,0.158
3,0,-2.3532,0,250,112,0.16,0.158
-8,4,6.1427,0,250,112,0.16,0.158
-7,4,6.885,0,250,112,0.16,0.158
-6,4,7.4644,0,250,112,0.16,0.158
-5,4,7.7595,0,250,112,0.16,0.158
-4,4,7.9149,0,250,112,0.16,0.158
-3,4,7.4954,0,250,112,0.16,0.158
-2,4,6.3637,0,250,112,0.16,0.158
-1,4,5.9177,0,250,112,0.16,0.158
2,4,0.45398999999999995,0,250,112,0.16,0.158
3,4,-2.079,0,250,112,0.16,0.158
-8,8,6.0446,0,250,112,0.16,0.158
-7,8,6.7259,0,250,112,0.16,0.158
-6,8,7.3102,0,250,112,0.16,0.158
-5,8,7.8318,0,250,112,0.16,0.158
-4,8,7.9363,0,250,112,0.16,0.158
-2,8,7.295,0,250,112,0.16,0.158
-4,12,7.8625,0,250,112,0.16,0.158
-3,12,7.9658,0,250,112,0.16,0.158
-2,12,7.4715,0,250,112,0.16,0.158
-1,12,6.2922,0,250,112,0.16,0.158
0,12,5.4455,0,250,112,0.16,0.158
1,12,4.2317,0,250,112,0.16,0.158
3,12,-0.8363200000000001,0,250,112,0.16,0.158
-6,16,7.1249,0,250,112,0.16,0.158
2,16,3.0525,0,250,112,0.16,0.158
-8,20,5.6211,0,250,112,0.16,0.158
-7,20,6.3629999999999995,0,250,112,0.16,0.158
-6,20,6.8453,0,250,112,0.16,0.158
-3,20,7.8507,0,250,112,0.16,0.158
-2,20,7.7819,0,250,112,0.16,0.158
-1,20,7.2788,0,250,112,0.16,0.158
3,20,1.7103,0,250,112,0.16,0.158
-8,24,5.5452,0,250,112,0.16,0.158
-7,24,6.0478,0,250,112,0.16,0.158
-6,24,6.6921,0,250,112,0.16,0.158
-5,24,7.2427,0,250,112,0.16,0.158
-4,24,7.5391,0,250,112,0.16,0.158
-3,24,7.8982,0,250,112,0.16,0.158
-2,24,7.8420000000000005,0,250,112,0.16,0.158
-1,24,7.2961,0,250,112,0.16,0.158
0,24,6.3659,0,250,112,0.16,0.158
1,24,5.044,0,250,112,0.16,0.158
2,24,4.0013,0,250,112,0.16,0.158
3,24,2.8498,0,250,112,0.16,0.158
-8,28,5.3858,0,250,112,0.16,0.158
-7,28,6.0128,0,250,112,0.16,0.158
-6,28,6.4835,0,250,112,0.16,0.158
-5,28,7.0333,0,250,112,0.16,0.158
-4,28,7.3343,0,250,112,0.16,0.158
-3,28,7.7734,0,250,112,0.16,0.158
-2,28,7.6194,0,250,112,0.16,0.158
-1,28,7.468,0,250,112,0.16,0.158
0,28,6.7985,0,250,112,0.16,0.158
1,28,5.4609,0,250,112,0.16,0.158
