Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-7,0,6.9083,40,0,250,112,0.16,0.158
2,0,-0.10562,40,0,250,112,0.16,0.158
3,0,-2.3532,40,0,250,112,0.16,0.158
-8,4,6.1427,40,0,250,112,0.16,0.158
-7,4,6.885,40,0,250,112,0.16,0.158
-6,4,7.4644,40,0,250,112,0.16,0.158
-5,4,7.7595,40,0,250,112,0.16,0.158
-4,4,7.9149,40,0,250,112,0.16,0.158
-3,4,7.4954,40,0,250,112,0.16,0.158
-2,4,6.3637,40,0,250,112,0.16,0.158
-1,4,5.9177,40,0,250,112,0.16,0.158
2,4,0.45398999999999995,40,0,250,112,0.16,0.158
3,4,-2.079,40,0,250,112,0.16,0.158
-8,8,6.0446,40,0,250,112,0.16,0.158
-7,8,6.7259,40,0,250,112,0.16,0.158
-6,8,7.3102,40,0,250,112,0.16,0.158
-5,8,7.8318,40,0,250,112,0.16,0.158
-4,8,7.9363,40,0,250,112,0.16,0.158
-2,8,7.295,40,0,250,112,0.16,0.158
-4,12,7.8625,40,0,250,112,0.16,0.158
-3,12,7.9658,40,0,250,112,0.16,0.158
-2,12,7.4715,40,0,250,112,0.16,0.158
-1,12,6.2922,40,0,250,112,0.16,0.158
0,12,5.4455,40,0,250,112,0.16,0.158
1,12,4.2317,40,0,250,112,0.16,0.158
3,12,-0.8363200000000001,40,0,250,112,0.16,0.158
-6,16,7.1249,40,0,250,112,0.16,0.158
2,16,3.0525,40,0,250,112,0.16,0.158
-8,20,5.6211,40,0,250,112,0.16,0.158
-7,20,6.3629999999999995,40,0,250,112,0.16,0.158
-6,20,6.8453,40,0,250,112,0.16,0.158
-3,20,7.8507,40,0,250,112,0.16,0.158
-2,20,7.7819,40,0,250,112,0.16,0.158
-1,20,7.2788,40,0,250,112,0.16,0.158
3,20,1.7103,40,0,250,112,0.16,0.158
-8,24,5.5452,40,0,250,112,0.16,0.158
-7,24,6.0478,40,0,250,112,0.16,0.158
-6,24,6.6921,40,0,250,112,0.16,0.158
-5,24,7.2427,40,0,250,112,0.16,0.158
-4,24,7.5391,40,0,250,112,0.16,0.158
-3,24,7.8982,40,0,250,112,0.16,0.158
-2,24,7.8420000000000005,40,0,250,112,0.16,0.158
-1,24,7.2961,40,0,250,112,0.16,0.158
0,24,6.3659,40,0,250,112,0.16,0.158
1,24,5.044,40,0,250,112,0.16,0.158
2,24,4.0013,40,0,250,112,0.16,0.158
3,24,2.8498,40,0,250,112,0.16,0.158
-8,28,5.3858,40,0,250,112,0.16,0.158
-7,28,6.0128,40,0,250,112,0.16,0.158
-6,28,6.4835,40,0,250,112,0.16,0.158
-5,28,7.0333,40,0,250,112,0.16,0.158
-4,28,7.3343,40,0,250,112,0.16,0.158
-3,28,7.7734,40,0,250,112,0.16,0.158
-2,28,7.6194,40,0,250,112,0.16,0.158
-1,28,7.468,40,0,250,112,0.16,0.158
0,28,6.7985,40,0,250,112,0.16,0.158
1,28,5.4609,40,0,250,112,0.16,0.158
