Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-7,0,5.7251,60,0,250,112,0.16,0.158
-6,0,6.4692,60,0,250,112,0.16,0.158
-5,0,7.0191,60,0,250,112,0.16,0.158
-4,0,7.4316,60,0,250,112,0.16,0.158
-3,0,7.351,60,0,250,112,0.16,0.158
-2,0,7.1061,60,0,250,112,0.16,0.158
-1,0,5.4339,60,0,250,112,0.16,0.158
0,0,4.7001,60,0,250,112,0.16,0.158
1,0,3.9673,60,0,250,112,0.16,0.158
2,0,1.7998,60,0,250,112,0.16,0.158
3,0,-1.0275,60,0,250,112,0.16,0.158
4,0,-4.0958,60,0,250,112,0.16,0.158
-7,6,5.6552,60,0,250,112,0.16,0.158
-6,6,6.3302,60,0,250,112,0.16,0.158
-5,6,7.0153,60,0,250,112,0.16,0.158
-4,6,7.5838,60,0,250,112,0.16,0.158
-3,6,7.6888,60,0,250,112,0.16,0.158
-2,6,7.4063,60,0,250,112,0.16,0.158
-1,6,6.9474,60,0,250,112,0.16,0.158
0,6,5.5278,60,0,250,112,0.16,0.158
1,6,4.62,60,0,250,112,0.16,0.158
2,6,3.0217,60,0,250,112,0.16,0.158
3,6,0.3874,60,0,250,112,0.16,0.158
4,6,-1.8358,60,0,250,112,0.16,0.158
-7,12,5.542999999999999,60,0,250,112,0.16,0.158
-6,12,6.2831,60,0,250,112,0.16,0.158
-5,12,6.8797,60,0,250,112,0.16,0.158
-4,12,7.4316,60,0,250,112,0.16,0.158
-3,12,7.754,60,0,250,112,0.16,0.158
-2,12,7.7224,60,0,250,112,0.16,0.158
-1,12,7.396,60,0,250,112,0.16,0.158
0,12,6.1874,60,0,250,112,0.16,0.158
1,12,4.2183,60,0,250,112,0.16,0.158
2,12,3.2191,60,0,250,112,0.16,0.158
3,12,2.2645,60,0,250,112,0.16,0.158
4,12,0.08040599999999999,60,0,250,112,0.16,0.158
-7,18,5.4061,60,0,250,112,0.16,0.158
-6,18,6.1348,60,0,250,112,0.16,0.158
-5,18,6.7679,60,0,250,112,0.16,0.158
-4,18,7.3124,60,0,250,112,0.16,0.158
-3,18,7.6755,60,0,250,112,0.16,0.158
-2,18,7.9194,60,0,250,112,0.16,0.158
-1,18,7.4727,60,0,250,112,0.16,0.158
0,18,7.114,60,0,250,112,0.16,0.158
1,18,5.7714,60,0,250,112,0.16,0.158
2,18,3.9522,60,0,250,112,0.16,0.158
3,18,2.7962,60,0,250,112,0.16,0.158
4,18,0.98326,60,0,250,112,0.16,0.158
-7,24,5.2224,60,0,250,112,0.16,0.158
