QdB, laserPowerdBmArray, segmentLength_1, percComp, fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
7.7429,-3,45,100,250,112,0.16,0.158,75
8.3767,-2,45,100,250,112,0.16,0.158,75
8.7659,-1,45,100,250,112,0.16,0.158,75
8.3993,0,45,100,250,112,0.16,0.158,75
7.9689,1,45,100,250,112,0.16,0.158,75
7.2196,2,45,100,250,112,0.16,0.158,75
5.605,3,45,100,250,112,0.16,0.158,75
3.0763,4,45,100,250,112,0.16,0.158,75
3.1726,5,45,100,250,112,0.16,0.158,75
5.3246,-6,52.5,100,250,112,0.16,0.158,75
7.2332,-6,8,100,250,112,0.16,0.158,10
6.1586,-5,52.5,100,250,112,0.16,0.158,75
6.9797,-4,52.5,100,250,112,0.16,0.158,75
7.6401,-3,52.5,100,250,112,0.16,0.158,75
8.2761,-2,52.5,100,250,112,0.16,0.158,75
8.566,-1,52.5,100,250,112,0.16,0.158,75
8.4715,0,52.5,100,250,112,0.16,0.158,75
8.164,1,52.5,100,250,112,0.16,0.158,75
7.5526,2,52.5,100,250,112,0.16,0.158,75
6.6005,3,52.5,100,250,112,0.16,0.158,75
5.1839,4,52.5,100,250,112,0.16,0.158,75
7.6662,-5,8,100,250,112,0.16,0.158,10
3.9627,5,52.5,100,250,112,0.16,0.158,75
5.3343,-6,60,100,250,112,0.16,0.158,75
6.1203,-5,60,100,250,112,0.16,0.158,75
6.9676,-4,60,100,250,112,0.16,0.158,75
7.6518,-3,60,100,250,112,0.16,0.158,75
8.3665,-2,60,100,250,112,0.16,0.158,75
8.6524,-1,60,100,250,112,0.16,0.158,75
8.6013,0,60,100,250,112,0.16,0.158,75
8.1185,1,60,100,250,112,0.16,0.158,75
7.4155,2,60,100,250,112,0.16,0.158,75
7.8803,-4,8,100,250,112,0.16,0.158,10
6.5061,3,60,100,250,112,0.16,0.158,75
5.7384,4,60,100,250,112,0.16,0.158,75
3.9307,5,60,100,250,112,0.16,0.158,75
5.2343,-6,67.5,100,250,112,0.16,0.158,75
6.1407,-5,67.5,100,250,112,0.16,0.158,75
6.9401,-4,67.5,100,250,112,0.16,0.158,75
7.7075,-3,67.5,100,250,112,0.16,0.158,75
8.3285,-2,67.5,100,250,112,0.16,0.158,75
8.6723,-1,67.5,100,250,112,0.16,0.158,75
8.7366,0,67.5,100,250,112,0.16,0.158,75
7.6117,-3,8,100,250,112,0.16,0.158,10
8.3544,1,67.5,100,250,112,0.16,0.158,75
7.7197,2,67.5,100,250,112,0.16,0.158,75
6.17,3,67.5,100,250,112,0.16,0.158,75
5.6948,4,67.5,100,250,112,0.16,0.158,75
3.0607,5,67.5,100,250,112,0.16,0.158,75
5.3662,-6,75,100,250,112,0.16,0.158,75
6.1941,-5,75,100,250,112,0.16,0.158,75
6.9723,-4,75,100,250,112,0.16,0.158,75
7.7471,-3,75,100,250,112,0.16,0.158,75
8.4014,-2,75,100,250,112,0.16,0.158,75
7.1209,-2,8,100,250,112,0.16,0.158,10
8.7986,-1,75,100,250,112,0.16,0.158,75
8.7822,0,75,100,250,112,0.16,0.158,75
8.3031,1,75,100,250,112,0.16,0.158,75
6.3373,3,75,100,250,112,0.16,0.158,75
4.9917,4,75,100,250,112,0.16,0.158,75
3.6875,5,75,100,250,112,0.16,0.158,75
4.8434,-6,0,100,250,112,0.16,0.158,80
5.5343,-5,0,100,250,112,0.16,0.158,80
6.3006,-4,0,100,250,112,0.16,0.158,80
5.8903,-1,8,100,250,112,0.16,0.158,10
6.8054,-3,0,100,250,112,0.16,0.158,80
6.7636,-2,0,100,250,112,0.16,0.158,80
6.5001,-1,0,100,250,112,0.16,0.158,80
5.7779,0,0,100,250,112,0.16,0.158,80
4.6106,1,0,100,250,112,0.16,0.158,80
2.4958,2,0,100,250,112,0.16,0.158,80
1.523,3,0,100,250,112,0.16,0.158,80
-0.39112,4,0,100,250,112,0.16,0.158,80
-5.5694,5,0,100,250,112,0.16,0.158,80
4.8796,-6,8,100,250,112,0.16,0.158,80
2.8527,0,8,100,250,112,0.16,0.158,10
5.7034,-5,8,100,250,112,0.16,0.158,80
6.3111,-4,8,100,250,112,0.16,0.158,80
6.975,-3,8,100,250,112,0.16,0.158,80
7.1989,-2,8,100,250,112,0.16,0.158,80
7.1845,-1,8,100,250,112,0.16,0.158,80
6.7789,0,8,100,250,112,0.16,0.158,80
5.9037,1,8,100,250,112,0.16,0.158,80
4.2321,2,8,100,250,112,0.16,0.158,80
3.0039,3,8,100,250,112,0.16,0.158,80
-0.026176,4,8,100,250,112,0.16,0.158,80
3.7733,1,8,100,250,112,0.16,0.158,10
-0.068017,5,8,100,250,112,0.16,0.158,80
4.8805,-6,16,100,250,112,0.16,0.158,80
5.649,-5,16,100,250,112,0.16,0.158,80
6.4692,-4,16,100,250,112,0.16,0.158,80
7.0583,-3,16,100,250,112,0.16,0.158,80
7.6169,-2,16,100,250,112,0.16,0.158,80
7.4421,-1,16,100,250,112,0.16,0.158,80
7.3432,0,16,100,250,112,0.16,0.158,80
6.5206,1,16,100,250,112,0.16,0.158,80
5.6874,2,16,100,250,112,0.16,0.158,80
1.0633,2,8,100,250,112,0.16,0.158,10
3.6555,3,16,100,250,112,0.16,0.158,80
2.6043,4,16,100,250,112,0.16,0.158,80
0.13667,5,16,100,250,112,0.16,0.158,80
4.8855,-6,24,100,250,112,0.16,0.158,80
5.7709,-5,24,100,250,112,0.16,0.158,80
6.5521,-4,24,100,250,112,0.16,0.158,80
7.2448,-3,24,100,250,112,0.16,0.158,80
7.6834,-2,24,100,250,112,0.16,0.158,80
7.9409,-1,24,100,250,112,0.16,0.158,80
7.7581,0,24,100,250,112,0.16,0.158,80
4.9587,-9,9,100,250,112,0.16,0.158,10
-0.0069518,0,0,100,250,112,0.16,0.158,10
7.2961,1,24,100,250,112,0.16,0.158,80
6.5793,2,24,100,250,112,0.16,0.158,80
5.2518,3,24,100,250,112,0.16,0.158,80
3.9041,4,24,100,250,112,0.16,0.158,80
1.9463,5,24,100,250,112,0.16,0.158,80
4.9245,-6,32,100,250,112,0.16,0.158,80
5.7349,-5,32,100,250,112,0.16,0.158,80
6.5428,-4,32,100,250,112,0.16,0.158,80
7.2311,-3,32,100,250,112,0.16,0.158,80
7.8654,-2,32,100,250,112,0.16,0.158,80
5.7442,-8,9,100,250,112,0.16,0.158,10
8.1622,-1,32,100,250,112,0.16,0.158,80
8.0249,0,32,100,250,112,0.16,0.158,80
7.5626,1,32,100,250,112,0.16,0.158,80
6.885,2,32,100,250,112,0.16,0.158,80
5.5106,3,32,100,250,112,0.16,0.158,80
4.1997,4,32,100,250,112,0.16,0.158,80
2.7766,5,32,100,250,112,0.16,0.158,80
4.9512,-6,40,100,250,112,0.16,0.158,80
5.7286,-5,40,100,250,112,0.16,0.158,80
6.6195,-4,40,100,250,112,0.16,0.158,80
6.5754,-7,9,100,250,112,0.16,0.158,10
7.2458,-3,40,100,250,112,0.16,0.158,80
7.9149,-2,40,100,250,112,0.16,0.158,80
8.305,-1,40,100,250,112,0.16,0.158,80
8.3404,0,40,100,250,112,0.16,0.158,80
7.8907,1,40,100,250,112,0.16,0.158,80
7.2907,2,40,100,250,112,0.16,0.158,80
5.8167,3,40,100,250,112,0.16,0.158,80
5.3185,4,40,100,250,112,0.16,0.158,80
2.8252,5,40,100,250,112,0.16,0.158,80
4.9024,-6,48,100,250,112,0.16,0.158,80
7.2458,-6,9,100,250,112,0.16,0.158,10
5.6401,-5,48,100,250,112,0.16,0.158,80
6.5084,-4,48,100,250,112,0.16,0.158,80
7.2639,-3,48,100,250,112,0.16,0.158,80
7.9194,-2,48,100,250,112,0.16,0.158,80
8.28,-1,48,100,250,112,0.16,0.158,80
8.2685,0,48,100,250,112,0.16,0.158,80
8.1359,1,48,100,250,112,0.16,0.158,80
7.4526,2,48,100,250,112,0.16,0.158,80
6.6171,3,48,100,250,112,0.16,0.158,80
4.9796,4,48,100,250,112,0.16,0.158,80
7.8031,-5,9,100,250,112,0.16,0.158,10
3.7332,5,48,100,250,112,0.16,0.158,80
4.886,-6,56,100,250,112,0.16,0.158,80
5.6903,-5,56,100,250,112,0.16,0.158,80
6.5405,-4,56,100,250,112,0.16,0.158,80
7.3146,-3,56,100,250,112,0.16,0.158,80
7.9487,-2,56,100,250,112,0.16,0.158,80
8.3767,-1,56,100,250,112,0.16,0.158,80
8.4435,0,56,100,250,112,0.16,0.158,80
8.209,1,56,100,250,112,0.16,0.158,80
7.644,2,56,100,250,112,0.16,0.158,80
7.9911,-4,9,100,250,112,0.16,0.158,10
6.8779,3,56,100,250,112,0.16,0.158,80
5.5463,4,56,100,250,112,0.16,0.158,80
3.9571,5,56,100,250,112,0.16,0.158,80
4.9015,-6,64,100,250,112,0.16,0.158,80
5.6654,-5,64,100,250,112,0.16,0.158,80
6.5137,-4,64,100,250,112,0.16,0.158,80
7.2532,-3,64,100,250,112,0.16,0.158,80
7.9847,-2,64,100,250,112,0.16,0.158,80
8.4737,-1,64,100,250,112,0.16,0.158,80
8.4628,0,64,100,250,112,0.16,0.158,80
7.9271,-3,9,100,250,112,0.16,0.158,10
8.1818,1,64,100,250,112,0.16,0.158,80
7.7595,2,64,100,250,112,0.16,0.158,80
6.9101,3,64,100,250,112,0.16,0.158,80
5.0697,4,64,100,250,112,0.16,0.158,80
4.2867,5,64,100,250,112,0.16,0.158,80
4.8651,-6,72,100,250,112,0.16,0.158,80
5.8155,-5,72,100,250,112,0.16,0.158,80
6.4895,-4,72,100,250,112,0.16,0.158,80
7.2301,-3,72,100,250,112,0.16,0.158,80
8.0895,-2,72,100,250,112,0.16,0.158,80
7.4051,-2,9,100,250,112,0.16,0.158,10
8.3849,-1,72,100,250,112,0.16,0.158,80
8.6951,0,72,100,250,112,0.16,0.158,80
8.4118,1,72,100,250,112,0.16,0.158,80
7.7471,2,72,100,250,112,0.16,0.158,80
6.2964,3,72,100,250,112,0.16,0.158,80
6.0154,4,72,100,250,112,0.16,0.158,80
4.3148,5,72,100,250,112,0.16,0.158,80
4.8452,-6,80,100,250,112,0.16,0.158,80
5.5978,-5,80,100,250,112,0.16,0.158,80
6.4491,-4,80,100,250,112,0.16,0.158,80
6.756,-1,9,100,250,112,0.16,0.158,10
7.204,-3,80,100,250,112,0.16,0.158,80
8.0594,-2,80,100,250,112,0.16,0.158,80
8.6254,-1,80,100,250,112,0.16,0.158,80
8.7499,0,80,100,250,112,0.16,0.158,80
8.22,1,80,100,250,112,0.16,0.158,80
7.8743,2,80,100,250,112,0.16,0.158,80
6.9465,3,80,100,250,112,0.16,0.158,80
6.0916,4,80,100,250,112,0.16,0.158,80
3.7455,5,80,100,250,112,0.16,0.158,80
3.4211,-3,0,100,250,112,0.16,0.158,120
5.2518,0,9,100,250,112,0.16,0.158,10
4.1418,-2,0,100,250,112,0.16,0.158,120
4.568,-1,0,100,250,112,0.16,0.158,120
4.7651,0,0,100,250,112,0.16,0.158,120
4.6273,1,0,100,250,112,0.16,0.158,120
4.1527,2,0,100,250,112,0.16,0.158,120
2.9125,3,0,100,250,112,0.16,0.158,120
1.5523,4,0,100,250,112,0.16,0.158,120
-0.52265,5,0,100,250,112,0.16,0.158,120
-2.8944,6,0,100,250,112,0.16,0.158,120
-6.2761,7,0,100,250,112,0.16,0.158,120
3.7005,1,9,100,250,112,0.16,0.158,10
-2.9455,1,0,100,250,112,0.16,0.158,10
-13.749,8,0,100,250,112,0.16,0.158,120
3.4584,-3,10,100,250,112,0.16,0.158,120
4.1746,-2,10,100,250,112,0.16,0.158,120
4.7958,-1,10,100,250,112,0.16,0.158,120
5.2643,0,10,100,250,112,0.16,0.158,120
5.4641,1,10,100,250,112,0.16,0.158,120
4.1464,3,10,100,250,112,0.16,0.158,120
3.3841,4,10,100,250,112,0.16,0.158,120
1.4027,5,10,100,250,112,0.16,0.158,120
1.5669,2,9,100,250,112,0.16,0.158,10
-0.59928,6,10,100,250,112,0.16,0.158,120
-2.5928,7,10,100,250,112,0.16,0.158,120
-5.9974,8,10,100,250,112,0.16,0.158,120
3.5081,-3,20,100,250,112,0.16,0.158,120
4.2337,-2,20,100,250,112,0.16,0.158,120
4.9378,-1,20,100,250,112,0.16,0.158,120
5.4977,0,20,100,250,112,0.16,0.158,120
5.8782,1,20,100,250,112,0.16,0.158,120
5.3415,2,20,100,250,112,0.16,0.158,120
5.2174,3,20,100,250,112,0.16,0.158,120
4.9526,-9,10,100,250,112,0.16,0.158,10
4.3634,4,20,100,250,112,0.16,0.158,120
3.1816,5,20,100,250,112,0.16,0.158,120
1.8025,6,20,100,250,112,0.16,0.158,120
-1.1123,7,20,100,250,112,0.16,0.158,120
-4.3417,8,20,100,250,112,0.16,0.158,120
3.5236,-3,30,100,250,112,0.16,0.158,120
4.3229,-2,30,100,250,112,0.16,0.158,120
5.0383,-1,30,100,250,112,0.16,0.158,120
5.6513,0,30,100,250,112,0.16,0.158,120
6.0053,1,30,100,250,112,0.16,0.158,120
5.85,-8,10,100,250,112,0.16,0.158,10
6.1995,2,30,100,250,112,0.16,0.158,120
5.8238,3,30,100,250,112,0.16,0.158,120
5.1947,4,30,100,250,112,0.16,0.158,120
3.7484,5,30,100,250,112,0.16,0.158,120
2.1324,6,30,100,250,112,0.16,0.158,120
0.18701,7,30,100,250,112,0.16,0.158,120
-2.362,8,30,100,250,112,0.16,0.158,120
3.5056,-3,40,100,250,112,0.16,0.158,120
4.2691,-2,40,100,250,112,0.16,0.158,120
5.109,-1,40,100,250,112,0.16,0.158,120
6.5973,-7,10,100,250,112,0.16,0.158,10
5.6869,0,40,100,250,112,0.16,0.158,120
6.1427,1,40,100,250,112,0.16,0.158,120
6.2431,2,40,100,250,112,0.16,0.158,120
6.2002,3,40,100,250,112,0.16,0.158,120
5.7949,4,40,100,250,112,0.16,0.158,120
4.6437,5,40,100,250,112,0.16,0.158,120
3.7744,6,40,100,250,112,0.16,0.158,120
0.73157,7,40,100,250,112,0.16,0.158,120
-1.2481,8,40,100,250,112,0.16,0.158,120
3.4194,-3,50,100,250,112,0.16,0.158,120
7.3388,-6,10,100,250,112,0.16,0.158,10
4.246,-2,50,100,250,112,0.16,0.158,120
5.0787,-1,50,100,250,112,0.16,0.158,120
5.7349,0,50,100,250,112,0.16,0.158,120
6.2992,1,50,100,250,112,0.16,0.158,120
6.5421,2,50,100,250,112,0.16,0.158,120
6.4707,3,50,100,250,112,0.16,0.158,120
5.5133,4,50,100,250,112,0.16,0.158,120
4.2811,5,50,100,250,112,0.16,0.158,120
3.7795,6,50,100,250,112,0.16,0.158,120
1.0444,7,50,100,250,112,0.16,0.158,120
7.944,-5,10,100,250,112,0.16,0.158,10
-0.31297,8,50,100,250,112,0.16,0.158,120
3.4444,-3,60,100,250,112,0.16,0.158,120
4.2847,-2,60,100,250,112,0.16,0.158,120
5.0549,-1,60,100,250,112,0.16,0.158,120
5.7511,0,60,100,250,112,0.16,0.158,120
6.3537,1,60,100,250,112,0.16,0.158,120
6.6354,2,60,100,250,112,0.16,0.158,120
6.485,3,60,100,250,112,0.16,0.158,120
6.0484,4,60,100,250,112,0.16,0.158,120
4.8774,5,60,100,250,112,0.16,0.158,120
8.2819,-4,10,100,250,112,0.16,0.158,10
3.5954,6,60,100,250,112,0.16,0.158,120
1.9922,7,60,100,250,112,0.16,0.158,120
0.30585,8,60,100,250,112,0.16,0.158,120
3.4594,-3,70,100,250,112,0.16,0.158,120
4.2476,-2,70,100,250,112,0.16,0.158,120
5.0397,-1,70,100,250,112,0.16,0.158,120
5.7165,0,70,100,250,112,0.16,0.158,120
6.3203,1,70,100,250,112,0.16,0.158,120
6.7418,2,70,100,250,112,0.16,0.158,120
6.5244,3,70,100,250,112,0.16,0.158,120
8.2609,-3,10,100,250,112,0.16,0.158,10
