Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,0.0,4.7771,10,100,250,112,0.16,0.158
-8,0.0,5.5073,10,100,250,112,0.16,0.158
-7,0.0,6.0864,10,100,250,112,0.16,0.158
-6,0.0,6.438,10,100,250,112,0.16,0.158
-5,0.0,6.3587,10,100,250,112,0.16,0.158
-4,0.0,6.1787,10,100,250,112,0.16,0.158
-3,0.0,4.5756,10,100,250,112,0.16,0.158
-2,0.0,3.9443,10,100,250,112,0.16,0.158
-1,0.0,1.53,10,100,250,112,0.16,0.158
0,0.0,-0.0069518,10,100,250,112,0.16,0.158
1,0.0,-2.9455,10,100,250,112,0.16,0.158
2,0.0,-6.9251,10,100,250,112,0.16,0.158
-9,1.0,4.8687,10,100,250,112,0.16,0.158
-8,1.0,5.6586,10,100,250,112,0.16,0.158
-7,1.0,6.2002,10,100,250,112,0.16,0.158
-6,1.0,6.5895,10,100,250,112,0.16,0.158
-5,1.0,6.5691,10,100,250,112,0.16,0.158
-4,1.0,6.2859,10,100,250,112,0.16,0.158
-3,1.0,5.3292,10,100,250,112,0.16,0.158
-2,1.0,3.7346,10,100,250,112,0.16,0.158
-1,1.0,1.8873,10,100,250,112,0.16,0.158
0,1.0,0.7458199999999999,10,100,250,112,0.16,0.158
1,1.0,-1.4561,10,100,250,112,0.16,0.158
2,1.0,-6.4975,10,100,250,112,0.16,0.158
-9,2.0,4.9043,10,100,250,112,0.16,0.158
-8,2.0,5.5884,10,100,250,112,0.16,0.158
-7,2.0,6.1934,10,100,250,112,0.16,0.158
-6,2.0,6.4985,10,100,250,112,0.16,0.158
-5,2.0,6.7917,10,100,250,112,0.16,0.158
-4,2.0,6.4306,10,100,250,112,0.16,0.158
-3,2.0,5.084,10,100,250,112,0.16,0.158
-2,2.0,4.6744,10,100,250,112,0.16,0.158
-1,2.0,2.4918,10,100,250,112,0.16,0.158
0,2.0,0.98269,10,100,250,112,0.16,0.158
1,2.0,-1.7803,10,100,250,112,0.16,0.158
2,2.0,-3.9101,10,100,250,112,0.16,0.158
-9,3.0,4.907,10,100,250,112,0.16,0.158
-8,3.0,5.6552,10,100,250,112,0.16,0.158
-7,3.0,6.172000000000001,10,100,250,112,0.16,0.158
-6,3.0,6.7831,10,100,250,112,0.16,0.158
-5,3.0,6.9373,10,100,250,112,0.16,0.158
-4,3.0,6.7476,10,100,250,112,0.16,0.158
-3,3.0,5.7732,10,100,250,112,0.16,0.158
-2,3.0,5.3698,10,100,250,112,0.16,0.158
-1,3.0,3.1830000000000003,10,100,250,112,0.16,0.158
0,3.0,0.9159700000000001,10,100,250,112,0.16,0.158
1,3.0,-0.49456999999999995,10,100,250,112,0.16,0.158
2,3.0,-3.6106,10,100,250,112,0.16,0.158
-9,4.0,4.8828,10,100,250,112,0.16,0.158
-8,4.0,5.6818,10,100,250,112,0.16,0.158
-7,4.0,6.412999999999999,10,100,250,112,0.16,0.158
-6,4.0,6.9264,10,100,250,112,0.16,0.158
-5,4.0,7.1299,10,100,250,112,0.16,0.158
-4,4.0,7.0467,10,100,250,112,0.16,0.158
-3,4.0,5.8716,10,100,250,112,0.16,0.158
-2,4.0,5.3921,10,100,250,112,0.16,0.158
-1,4.0,3.8985,10,100,250,112,0.16,0.158
0,4.0,1.8286,10,100,250,112,0.16,0.158
1,4.0,-0.53059,10,100,250,112,0.16,0.158
2,4.0,-2.5117,10,100,250,112,0.16,0.158
-9,5.0,4.9466,10,100,250,112,0.16,0.158
-8,5.0,5.7814,10,100,250,112,0.16,0.158
-7,5.0,6.4299,10,100,250,112,0.16,0.158
-6,5.0,6.8931,10,100,250,112,0.16,0.158
-5,5.0,7.1379,10,100,250,112,0.16,0.158
-4,5.0,7.3644,10,100,250,112,0.16,0.158
-3,5.0,6.6668,10,100,250,112,0.16,0.158
-2,5.0,6.0606,10,100,250,112,0.16,0.158
-1,5.0,4.3841,10,100,250,112,0.16,0.158
0,5.0,2.2793,10,100,250,112,0.16,0.158
1,5.0,0.7378399999999999,10,100,250,112,0.16,0.158
2,5.0,-0.81892,10,100,250,112,0.16,0.158
-9,6.0,4.9894,10,100,250,112,0.16,0.158
-8,6.0,5.7292,10,100,250,112,0.16,0.158
-7,6.0,6.4588,10,100,250,112,0.16,0.158
-6,6.0,7.0718,10,100,250,112,0.16,0.158
-5,6.0,7.4074,10,100,250,112,0.16,0.158
-4,6.0,7.4456,10,100,250,112,0.16,0.158
-3,6.0,7.0621,10,100,250,112,0.16,0.158
-2,6.0,5.0359,10,100,250,112,0.16,0.158
-1,6.0,4.9568,10,100,250,112,0.16,0.158
0,6.0,3.0817,10,100,250,112,0.16,0.158
1,6.0,1.3118,10,100,250,112,0.16,0.158
2,6.0,-1.0676,10,100,250,112,0.16,0.158
-9,7.0,4.9239999999999995,10,100,250,112,0.16,0.158
-8,7.0,5.7488,10,100,250,112,0.16,0.158
-7,7.0,6.5482,10,100,250,112,0.16,0.158
-6,7.0,7.156000000000001,10,100,250,112,0.16,0.158
-5,7.0,7.5244,10,100,250,112,0.16,0.158
-4,7.0,7.5977,10,100,250,112,0.16,0.158
-3,7.0,7.3745,10,100,250,112,0.16,0.158
-2,7.0,6.7234,10,100,250,112,0.16,0.158
-1,7.0,5.1375,10,100,250,112,0.16,0.158
0,7.0,4.0832,10,100,250,112,0.16,0.158
1,7.0,2.9471,10,100,250,112,0.16,0.158
2,7.0,-0.47131999999999996,10,100,250,112,0.16,0.158
-9,8.0,4.9917,10,100,250,112,0.16,0.158
-8,8.0,5.7978,10,100,250,112,0.16,0.158
-7,8.0,6.4064,10,100,250,112,0.16,0.158
-6,8.0,7.2332,10,100,250,112,0.16,0.158
-5,8.0,7.6662,10,100,250,112,0.16,0.158
-4,8.0,7.8803,10,100,250,112,0.16,0.158
-3,8.0,7.6117,10,100,250,112,0.16,0.158
-2,8.0,7.1209,10,100,250,112,0.16,0.158
-1,8.0,5.8903,10,100,250,112,0.16,0.158
0,8.0,2.8527,10,100,250,112,0.16,0.158
1,8.0,3.7733,10,100,250,112,0.16,0.158
2,8.0,1.0633,10,100,250,112,0.16,0.158
-9,9.0,4.9587,10,100,250,112,0.16,0.158
-8,9.0,5.7442,10,100,250,112,0.16,0.158
-7,9.0,6.5754,10,100,250,112,0.16,0.158
-6,9.0,7.2458,10,100,250,112,0.16,0.158
-5,9.0,7.8031,10,100,250,112,0.16,0.158
-4,9.0,7.9911,10,100,250,112,0.16,0.158
-3,9.0,7.9271,10,100,250,112,0.16,0.158
-2,9.0,7.4051,10,100,250,112,0.16,0.158
-1,9.0,6.756,10,100,250,112,0.16,0.158
0,9.0,5.2518,10,100,250,112,0.16,0.158
1,9.0,3.7005,10,100,250,112,0.16,0.158
2,9.0,1.5669,10,100,250,112,0.16,0.158
-9,10.0,4.9526,10,100,250,112,0.16,0.158
-8,10.0,5.85,10,100,250,112,0.16,0.158
-7,10.0,6.5973,10,100,250,112,0.16,0.158
-6,10.0,7.3388,10,100,250,112,0.16,0.158
-5,10.0,7.944,10,100,250,112,0.16,0.158
-4,10.0,8.2819,10,100,250,112,0.16,0.158
-3,10.0,8.2609,10,100,250,112,0.16,0.158
-2,10.0,7.9179,10,100,250,112,0.16,0.158
-1,10.0,7.2238,10,100,250,112,0.16,0.158
0,10.0,6.1527,10,100,250,112,0.16,0.158
1,10.0,4.6295,10,100,250,112,0.16,0.158
2,10.0,2.4862,10,100,250,112,0.16,0.158
-9,0.0,5.7557,20,100,250,112,0.16,0.158
-8,0.0,6.4805,20,100,250,112,0.16,0.158
-7,0.0,7.1129999999999995,20,100,250,112,0.16,0.158
-6,0.0,7.4703,20,100,250,112,0.16,0.158
-5,0.0,7.2972,20,100,250,112,0.16,0.158
-4,0.0,6.7857,20,100,250,112,0.16,0.158
-3,0.0,6.0748,20,100,250,112,0.16,0.158
-2,0.0,4.5553,20,100,250,112,0.16,0.158
-1,0.0,2.2691,20,100,250,112,0.16,0.158
0,0.0,0.26283,20,100,250,112,0.16,0.158
1,0.0,-0.37751999999999997,20,100,250,112,0.16,0.158
2,0.0,-2.8151,20,100,250,112,0.16,0.158
-9,2.0,5.8668,20,100,250,112,0.16,0.158
-8,2.0,6.5206,20,100,250,112,0.16,0.158
-7,2.0,7.204,20,100,250,112,0.16,0.158
-6,2.0,7.5564,20,100,250,112,0.16,0.158
-5,2.0,7.544,20,100,250,112,0.16,0.158
-4,2.0,7.1399,20,100,250,112,0.16,0.158
-3,2.0,6.4752,20,100,250,112,0.16,0.158
-2,2.0,5.5626,20,100,250,112,0.16,0.158
-1,2.0,2.9996,20,100,250,112,0.16,0.158
0,2.0,1.9946,20,100,250,112,0.16,0.158
1,2.0,-1.5392,20,100,250,112,0.16,0.158
2,2.0,-2.2028,20,100,250,112,0.16,0.158
-9,4.0,5.8345,20,100,250,112,0.16,0.158
-8,4.0,6.666,20,100,250,112,0.16,0.158
-7,4.0,7.2374,20,100,250,112,0.16,0.158
-6,4.0,7.6427,20,100,250,112,0.16,0.158
-5,4.0,7.8017,20,100,250,112,0.16,0.158
-4,4.0,7.6427,20,100,250,112,0.16,0.158
-3,4.0,6.2589,20,100,250,112,0.16,0.158
-2,4.0,5.2915,20,100,250,112,0.16,0.158
-1,4.0,4.0326,20,100,250,112,0.16,0.158
0,4.0,2.3082,20,100,250,112,0.16,0.158
1,4.0,1.3411,20,100,250,112,0.16,0.158
2,4.0,-1.7753,20,100,250,112,0.16,0.158
-9,6.0,5.8167,20,100,250,112,0.16,0.158
-8,6.0,6.6929,20,100,250,112,0.16,0.158
-7,6.0,7.2864,20,100,250,112,0.16,0.158
-6,6.0,7.7917,20,100,250,112,0.16,0.158
-5,6.0,7.8982,20,100,250,112,0.16,0.158
-4,6.0,7.8551,20,100,250,112,0.16,0.158
-3,6.0,7.2993,20,100,250,112,0.16,0.158
-2,6.0,6.4602,20,100,250,112,0.16,0.158
-1,6.0,5.2031,20,100,250,112,0.16,0.158
0,6.0,2.8657,20,100,250,112,0.16,0.158
1,6.0,1.4534,20,100,250,112,0.16,0.158
2,6.0,-0.75938,20,100,250,112,0.16,0.158
-9,8.0,5.8398,20,100,250,112,0.16,0.158
-8,8.0,6.5793,20,100,250,112,0.16,0.158
-7,8.0,7.3157,20,100,250,112,0.16,0.158
-6,8.0,8.0007,20,100,250,112,0.16,0.158
-5,8.0,8.061,20,100,250,112,0.16,0.158
-4,8.0,7.9911,20,100,250,112,0.16,0.158
-3,8.0,7.4822,20,100,250,112,0.16,0.158
-2,8.0,6.1894,20,100,250,112,0.16,0.158
-1,8.0,5.1032,20,100,250,112,0.16,0.158
0,8.0,4.1383,20,100,250,112,0.16,0.158
1,8.0,2.573,20,100,250,112,0.16,0.158
2,8.0,-0.23740999999999998,20,100,250,112,0.16,0.158
-9,10.0,5.8446,20,100,250,112,0.16,0.158
-8,10.0,6.6243,20,100,250,112,0.16,0.158
-7,10.0,7.4258,20,100,250,112,0.16,0.158
-6,10.0,7.9943,20,100,250,112,0.16,0.158
-5,10.0,8.3266,20,100,250,112,0.16,0.158
-4,10.0,8.1446,20,100,250,112,0.16,0.158
-3,10.0,7.7471,20,100,250,112,0.16,0.158
-2,10.0,7.0689,20,100,250,112,0.16,0.158
-1,10.0,4.6467,20,100,250,112,0.16,0.158
0,10.0,4.4453,20,100,250,112,0.16,0.158
1,10.0,3.2444,20,100,250,112,0.16,0.158
2,10.0,0.85565,20,100,250,112,0.16,0.158
-9,12.0,5.8333,20,100,250,112,0.16,0.158
-8,12.0,6.7712,20,100,250,112,0.16,0.158
-7,12.0,7.4178,20,100,250,112,0.16,0.158
-6,12.0,8.1117,20,100,250,112,0.16,0.158
-5,12.0,8.5429,20,100,250,112,0.16,0.158
-4,12.0,8.3424,20,100,250,112,0.16,0.158
-3,12.0,7.9847,20,100,250,112,0.16,0.158
-2,12.0,7.4715,20,100,250,112,0.16,0.158
-1,12.0,5.1613,20,100,250,112,0.16,0.158
0,12.0,5.772,20,100,250,112,0.16,0.158
1,12.0,2.7776,20,100,250,112,0.16,0.158
2,12.0,1.3783,20,100,250,112,0.16,0.158
-9,14.0,5.8416,20,100,250,112,0.16,0.158
-8,14.0,6.7268,20,100,250,112,0.16,0.158
-7,14.0,7.4858,20,100,250,112,0.16,0.158
-6,14.0,8.0946,20,100,250,112,0.16,0.158
-5,14.0,8.4542,20,100,250,112,0.16,0.158
-4,14.0,8.6181,20,100,250,112,0.16,0.158
