Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-1,0,1.8352,10,0,250,112,0.16,0.158
-2,0,2.9553,10,0,250,112,0.16,0.158
-3,0,4.6411,10,0,250,112,0.16,0.158
-4,0,5.4519,10,0,250,112,0.16,0.158
-5,0,6.2083,10,0,250,112,0.16,0.158
-6,0,6.3825,10,0,250,112,0.16,0.158
-7,0,6.1533,10,0,250,112,0.16,0.158
-8,0,5.5555,10,0,250,112,0.16,0.158
-9,0,4.8209,10,0,250,112,0.16,0.158
0,0,0.52065,10,0,250,112,0.16,0.158
1,0,-2.3361,10,0,250,112,0.16,0.158
2,0,-4.4091,10,0,250,112,0.16,0.158
-1,1,2.1476,10,0,250,112,0.16,0.158
-2,1,4.3699,10,0,250,112,0.16,0.158
-3,1,5.1653,10,0,250,112,0.16,0.158
-4,1,5.7639,10,0,250,112,0.16,0.158
-5,1,6.4789,10,0,250,112,0.16,0.158
-6,1,6.4461,10,0,250,112,0.16,0.158
-7,1,6.1112,10,0,250,112,0.16,0.158
-8,1,5.5923,10,0,250,112,0.16,0.158
-9,1,4.8502,10,0,250,112,0.16,0.158
0,1,0.31632,10,0,250,112,0.16,0.158
1,1,-2.5114,10,0,250,112,0.16,0.158
2,1,-4.0578,10,0,250,112,0.16,0.158
-1,10,6.337999999999999,10,0,250,112,0.16,0.158
-2,10,6.6685,10,0,250,112,0.16,0.158
-3,10,6.8123,10,0,250,112,0.16,0.158
-4,10,6.6888,10,0,250,112,0.16,0.158
-5,10,6.2817,10,0,250,112,0.16,0.158
-6,10,5.9466,10,0,250,112,0.16,0.158
-7,10,5.4203,10,0,250,112,0.16,0.158
-8,10,4.9098,10,0,250,112,0.16,0.158
-9,10,4.3695,10,0,250,112,0.16,0.158
0,10,4.5922,10,0,250,112,0.16,0.158
1,10,4.6839,10,0,250,112,0.16,0.158
2,10,3.0886,10,0,250,112,0.16,0.158
-1,2,2.568,10,0,250,112,0.16,0.158
-2,2,4.8755,10,0,250,112,0.16,0.158
-3,2,4.407,10,0,250,112,0.16,0.158
-4,2,6.4343,10,0,250,112,0.16,0.158
-5,2,6.559,10,0,250,112,0.16,0.158
-6,2,6.6013,10,0,250,112,0.16,0.158
-7,2,6.1807,10,0,250,112,0.16,0.158
-8,2,5.5951,10,0,250,112,0.16,0.158
-9,2,4.8874,10,0,250,112,0.16,0.158
0,2,0.87279,10,0,250,112,0.16,0.158
1,2,-1.5232,10,0,250,112,0.16,0.158
2,2,-2.3355,10,0,250,112,0.16,0.158
-1,3,3.123,10,0,250,112,0.16,0.158
-2,3,4.847,10,0,250,112,0.16,0.158
-3,3,6.0446,10,0,250,112,0.16,0.158
-4,3,6.4321,10,0,250,112,0.16,0.158
-5,3,6.573,10,0,250,112,0.16,0.158
-6,3,6.438,10,0,250,112,0.16,0.158
-7,3,6.0363,10,0,250,112,0.16,0.158
-8,3,5.4323,10,0,250,112,0.16,0.158
-9,3,4.8025,10,0,250,112,0.16,0.158
0,3,1.6808,10,0,250,112,0.16,0.158
1,3,-0.7821600000000001,10,0,250,112,0.16,0.158
2,3,-3.0472,10,0,250,112,0.16,0.158
-1,4,4.0717,10,0,250,112,0.16,0.158
-2,4,5.0279,10,0,250,112,0.16,0.158
-3,4,5.7954,10,0,250,112,0.16,0.158
-4,4,6.584,10,0,250,112,0.16,0.158
-5,4,6.6823,10,0,250,112,0.16,0.158
-6,4,6.4797,10,0,250,112,0.16,0.158
-7,4,6.0223,10,0,250,112,0.16,0.158
-8,4,5.4371,10,0,250,112,0.16,0.158
-9,4,4.7523,10,0,250,112,0.16,0.158
0,4,2.3168,10,0,250,112,0.16,0.158
1,4,0.19125,10,0,250,112,0.16,0.158
2,4,-1.9133,10,0,250,112,0.16,0.158
-1,5,4.4445,10,0,250,112,0.16,0.158
-2,5,5.3266,10,0,250,112,0.16,0.158
-3,5,6.2873,10,0,250,112,0.16,0.158
-4,5,6.6547,10,0,250,112,0.16,0.158
-5,5,6.7243,10,0,250,112,0.16,0.158
-6,5,6.3104,10,0,250,112,0.16,0.158
-7,5,5.8256,10,0,250,112,0.16,0.158
-8,5,5.3594,10,0,250,112,0.16,0.158
-9,5,4.6579,10,0,250,112,0.16,0.158
0,5,2.6343,10,0,250,112,0.16,0.158
1,5,-0.019673,10,0,250,112,0.16,0.158
2,5,-1.4611,10,0,250,112,0.16,0.158
-1,6,5.1433,10,0,250,112,0.16,0.158
-2,6,5.3739,10,0,250,112,0.16,0.158
-3,6,6.4291,10,0,250,112,0.16,0.158
-4,6,6.7814,10,0,250,112,0.16,0.158
-5,6,6.6346,10,0,250,112,0.16,0.158
-6,6,6.3401,10,0,250,112,0.16,0.158
-7,6,5.8279,10,0,250,112,0.16,0.158
-8,6,5.2784,10,0,250,112,0.16,0.158
-9,6,4.6033,10,0,250,112,0.16,0.158
0,6,3.2795,10,0,250,112,0.16,0.158
1,6,0.64904,10,0,250,112,0.16,0.158
2,6,-2.2381,10,0,250,112,0.16,0.158
-1,7,5.1051,10,0,250,112,0.16,0.158
-2,7,5.7703,10,0,250,112,0.16,0.158
-3,7,6.5723,10,0,250,112,0.16,0.158
-4,7,6.7052,10,0,250,112,0.16,0.158
-5,7,6.5467,10,0,250,112,0.16,0.158
-6,7,6.2424,10,0,250,112,0.16,0.158
-7,7,5.7085,10,0,250,112,0.16,0.158
-8,7,5.1638,10,0,250,112,0.16,0.158
-9,7,4.5494,10,0,250,112,0.16,0.158
0,7,3.7594,10,0,250,112,0.16,0.158
1,7,2.2049,10,0,250,112,0.16,0.158
2,7,-0.62087,10,0,250,112,0.16,0.158
-1,8,5.8578,10,0,250,112,0.16,0.158
-2,8,6.3868,10,0,250,112,0.16,0.158
-3,8,6.7209,10,0,250,112,0.16,0.158
-4,8,6.8227,10,0,250,112,0.16,0.158
-5,8,6.5001,10,0,250,112,0.16,0.158
-6,8,6.1046,10,0,250,112,0.16,0.158
-7,8,5.5962,10,0,250,112,0.16,0.158
-8,8,5.0744,10,0,250,112,0.16,0.158
-9,8,4.5279,10,0,250,112,0.16,0.158
0,8,4.2935,10,0,250,112,0.16,0.158
1,8,1.7325,10,0,250,112,0.16,0.158
2,8,0.54023,10,0,250,112,0.16,0.158
-1,9,5.6733,10,0,250,112,0.16,0.158
-2,9,6.5031,10,0,250,112,0.16,0.158
-3,9,6.7729,10,0,250,112,0.16,0.158
-4,9,6.6913,10,0,250,112,0.16,0.158
-5,9,6.4409,10,0,250,112,0.16,0.158
-6,9,5.964,10,0,250,112,0.16,0.158
-7,9,5.4923,10,0,250,112,0.16,0.158
-8,9,4.9847,10,0,250,112,0.16,0.158
-9,9,4.44,10,0,250,112,0.16,0.158
0,9,4.6252,10,0,250,112,0.16,0.158
1,9,3.544,10,0,250,112,0.16,0.158
2,9,1.4599,10,0,250,112,0.16,0.158
-1,0,2.7167,20,0,250,112,0.16,0.158
-2,0,5.2814,20,0,250,112,0.16,0.158
-3,0,6.1361,20,0,250,112,0.16,0.158
-4,0,6.2783,20,0,250,112,0.16,0.158
-5,0,7.282,20,0,250,112,0.16,0.158
-6,0,7.3745,20,0,250,112,0.16,0.158
-7,0,7.159,20,0,250,112,0.16,0.158
-8,0,6.5405,20,0,250,112,0.16,0.158
-9,0,5.7534,20,0,250,112,0.16,0.158
0,0,0.5484600000000001,20,0,250,112,0.16,0.158
1,0,-0.4835100000000001,20,0,250,112,0.16,0.158
2,0,-2.7094,20,0,250,112,0.16,0.158
-2,10,6.6092,20,0,250,112,0.16,0.158
-3,10,7.1329,20,0,250,112,0.16,0.158
-4,10,7.481,20,0,250,112,0.16,0.158
-5,10,7.3711,20,0,250,112,0.16,0.158
-6,10,7.0248,20,0,250,112,0.16,0.158
-7,10,6.6362,20,0,250,112,0.16,0.158
-8,10,6.051,20,0,250,112,0.16,0.158
-9,10,5.462999999999999,20,0,250,112,0.16,0.158
2,10,0.52717,20,0,250,112,0.16,0.158
-2,12,6.8209,20,0,250,112,0.16,0.158
-5,12,7.2532,20,0,250,112,0.16,0.158
-6,12,6.9119,20,0,250,112,0.16,0.158
-7,12,6.4565,20,0,250,112,0.16,0.158
-8,12,6.0709,20,0,250,112,0.16,0.158
-9,12,5.4376,20,0,250,112,0.16,0.158
0,12,4.6342,20,0,250,112,0.16,0.158
1,12,3.2801,20,0,250,112,0.16,0.158
2,12,0.92884,20,0,250,112,0.16,0.158
-4,14,7.3487,20,0,250,112,0.16,0.158
