QdB, laserPowerdBmArray, segmentLength_1, percComp, fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
4.8209,-9,0,0,250,112,0.16,0.158
2.1476,-1,1,0,250,112,0.16,0.158
-4.0578,2,1,0,250,112,0.16,0.158
4.8874,-9,2,0,250,112,0.16,0.158
5.5951,-8,2,0,250,112,0.16,0.158
6.1807,-7,2,0,250,112,0.16,0.158
6.6013,-6,2,0,250,112,0.16,0.158
6.559,-5,2,0,250,112,0.16,0.158
5.5555,-8,0,0,250,112,0.16,0.158
6.4343,-4,2,0,250,112,0.16,0.158
4.407,-3,2,0,250,112,0.16,0.158
-1.5232,1,2,0,250,112,0.16,0.158
6.1533,-7,0,0,250,112,0.16,0.158
-0.78216,1,3,0,250,112,0.16,0.158
6.3825,-6,0,0,250,112,0.16,0.158
6.2083,-5,0,0,250,112,0.16,0.158
5.4519,-4,0,0,250,112,0.16,0.158
4.6411,-3,0,0,250,112,0.16,0.158
