Laser Power (dBm),Length of Segment 1 (km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,0,5.7534,,0,250,112,0.16,0.158
-8,0,6.5405,,0,250,112,0.16,0.158
-7,0,7.159,,0,250,112,0.16,0.158
-6,0,7.3745,,0,250,112,0.16,0.158
-5,0,7.282,,0,250,112,0.16,0.158
-4,0,6.2783,,0,250,112,0.16,0.158
-3,0,6.1361,,0,250,112,0.16,0.158
-2,0,5.2814,,0,250,112,0.16,0.158
-1,0,2.7167,,0,250,112,0.16,0.15
0,0,0.5484600000000001,,0,250,112,0.16,0.158
1,0,-0.48351000000000005,,0,250,112,0.16,0.158
2,0,-2.7094,,0,250,112,0.16,0.158
-9,2,5.7709,,0,250,112,0.16,0.158
-8,2,6.5213,,0,250,112,0.16,0.158
-7,2,7.0933,,0,250,112,0.16,0.158
-6,2,7.5391,,0,250,112,0.16,0.158
-5,2,7.4727,,0,250,112,0.16,0.158
-4,2,7.1947,,0,250,112,0.16,0.158
-3,2,6.606,,0,250,112,0.16,0.158
-2,2,5.2915,,0,250,112,0.16,0.158
-1,2,3.513,,0,250,112,0.16,0.158
0,2,1.5136,,0,250,112,0.16,0.158
1,2,0.68488,20.0,0,250,112,0.16,0.158
2,2,-2.9582,,0,250,112,0.16,0.158
-9,4,5.7459,,0,250,112,0.16,0.158
-8,4,6.4625,,0,250,112,0.16,0.158
-7,4,7.0153,,0,250,112,0.16,0.158
-6,4,7.4491,20.0,0,250,112,0.16,0.158
-5,4,7.5551,,0,250,112,0.16,0.158
-4,4,7.4258,,0,250,112,0.16,0.158
-3,4,6.7185,,0,250,112,0.16,0.158
-2,4,5.4843,20.0,0,250,112,0.16,0.158
-1,4,3.4674,20.0,0,250,112,0.16,0.158
0,4,2.6832,,0,250,112,0.16,0.158
1,4,0.4231,20.0,0,250,112,0.16,0.158
2,4,-2.0947,,0,250,112,0.16,0.158
-9,6,5.662000000000001,,0,250,112,0.16,0.158
-8,6,6.3295,,0,250,112,0.16,0.158
-7,6,6.9704,20.0,0,250,112,0.16,0.158
-6,6,7.3576,,0,250,112,0.16,0.158
-5,6,7.511,,0,250,112,0.16,0.158
-4,6,7.4132,,0,250,112,0.16,0.158
-3,6,7.0286,20.0,0,250,112,0.16,0.158
-2,6,6.1793,,0,250,112,0.16,0.158
-1,6,5.1205,,0,250,112,0.16,0.158
0,6,2.5109,,0,250,112,0.16,0.158
1,6,1.6645,,0,250,112,0.16,0.158
2,6,0.26537,,0,250,112,0.16,0.158
-9,8,5.5698,,0,250,112,0.16,0.158
-8,8,6.2294,20.0,0,250,112,0.16,0.158
-7,8,6.8235,,0,250,112,0.16,0.158
-6,8,7.1429,,0,250,112,0.16,0.158
-5,8,7.4212,,0,250,112,0.16,0.158
-4,8,7.3994,20.0,0,250,112,0.16,0.158
-3,8,6.9899,,0,250,112,0.16,0.158
-2,8,6.4647,20.0,0,250,112,0.16,0.158
-1,8,5.593999999999999,,0,250,112,0.16,0.158
0,8,2.0474,,0,250,112,0.16,0.158
1,8,1.4931,,0,250,112,0.16,0.158
