Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,5.7534,0,20,0,250,112,0.16,0.158
-8,6.5405,0,20,0,250,112,0.16,0.158
-7,7.159,0,20,0,250,112,0.16,0.158
-6,7.3745,0,20,0,250,112,0.16,0.158
-5,7.282,0,20,0,250,112,0.16,0.158
-4,6.2783,0,20,0,250,112,0.16,0.158
-3,6.1361,0,20,0,250,112,0.16,0.158
-2,5.2814,0,20,0,250,112,0.16,0.158
-1,2.7167,0,20,0,250,112,0.16,0.15
0,0.5484600000000001,0,20,0,250,112,0.16,0.158
1,-0.4835100000000001,0,20,0,250,112,0.16,0.158
2,-2.7094,0,20,0,250,112,0.16,0.158
-9,5.7709,2,20,0,250,112,0.16,0.158
-8,6.5213,2,20,0,250,112,0.16,0.158
-7,7.0933,2,20,0,250,112,0.16,0.158
-6,7.5391,2,20,0,250,112,0.16,0.158
-5,7.4727,2,20,0,250,112,0.16,0.158
-4,7.1947,2,20,0,250,112,0.16,0.158
-3,6.606,2,20,0,250,112,0.16,0.158
-2,5.2915,2,20,0,250,112,0.16,0.158
-1,3.513,2,20,0,250,112,0.16,0.158
0,1.5136,2,20,0,250,112,0.16,0.158
1,0.68488,2,20,0,250,112,0.16,0.158
2,-2.9582,2,20,0,250,112,0.16,0.158
-9,5.7459,4,20,0,250,112,0.16,0.158
-8,6.4625,4,20,0,250,112,0.16,0.158
-7,7.0153,4,20,0,250,112,0.16,0.158
-6,7.4491,4,20,0,250,112,0.16,0.158
-5,7.5551,4,20,0,250,112,0.16,0.158
-4,7.4258,4,20,0,250,112,0.16,0.158
-3,6.7185,4,20,0,250,112,0.16,0.158
-2,5.4843,4,20,0,250,112,0.16,0.158
-1,3.4674,4,20,0,250,112,0.16,0.158
0,2.6832,4,20,0,250,112,0.16,0.158
1,0.4231,4,20,0,250,112,0.16,0.158
2,-2.0947,4,20,0,250,112,0.16,0.158
-9,5.662000000000001,6,20,0,250,112,0.16,0.158
-8,6.3295,6,20,0,250,112,0.16,0.158
-7,6.9704,6,20,0,250,112,0.16,0.158
-6,7.3576,6,20,0,250,112,0.16,0.158
-5,7.511,6,20,0,250,112,0.16,0.158
-4,7.4132,6,20,0,250,112,0.16,0.158
-3,7.0286,6,20,0,250,112,0.16,0.158
-2,6.1793,6,20,0,250,112,0.16,0.158
-1,5.1205,6,20,0,250,112,0.16,0.158
0,2.5109,6,20,0,250,112,0.16,0.158
1,1.6645,6,20,0,250,112,0.16,0.158
2,0.26537,6,20,0,250,112,0.16,0.158
-9,5.5698,8,20,0,250,112,0.16,0.158
-8,6.2294,8,20,0,250,112,0.16,0.158
-7,6.8235,8,20,0,250,112,0.16,0.158
-6,7.1429,8,20,0,250,112,0.16,0.158
-5,7.4212,8,20,0,250,112,0.16,0.158
-4,7.3994,8,20,0,250,112,0.16,0.158
-3,6.9899,8,20,0,250,112,0.16,0.158
-2,6.4647,8,20,0,250,112,0.16,0.158
-1,5.5939999999999985,8,20,0,250,112,0.16,0.158
0,2.0474,8,20,0,250,112,0.16,0.158
1,1.4931,8,20,0,250,112,0.16,0.158
2,0.22548,8,20,0,250,112,0.16,0.158
-9,5.462999999999999,10,20,0,250,112,0.16,0.158
-8,6.051,10,20,0,250,112,0.16,0.158
-7,6.6362,10,20,0,250,112,0.16,0.158
-6,7.0248,10,20,0,250,112,0.16,0.158
-5,7.3711,10,20,0,250,112,0.16,0.158
-4,7.481,10,20,0,250,112,0.16,0.158
-3,7.1329,10,20,0,250,112,0.16,0.158
-2,6.6092,10,20,0,250,112,0.16,0.158
-1,6.0903,10,20,0,250,112,0.16,0.158
0,4.0929,10,20,0,250,112,0.16,0.158
1,1.8751,10,20,0,250,112,0.16,0.158
2,0.52717,10,20,0,250,112,0.16,0.158
-9,5.4376,12,20,0,250,112,0.16,0.158
-8,6.0709,12,20,0,250,112,0.16,0.158
-7,6.4565,12,20,0,250,112,0.16,0.158
-6,6.9119,12,20,0,250,112,0.16,0.158
-5,7.2532,12,20,0,250,112,0.16,0.158
-4,7.4739,12,20,0,250,112,0.16,0.158
-3,7.2301,12,20,0,250,112,0.16,0.158
-2,6.8209,12,20,0,250,112,0.16,0.158
-1,5.2224,12,20,0,250,112,0.16,0.158
0,4.6342,12,20,0,250,112,0.16,0.158
1,3.2801,12,20,0,250,112,0.16,0.158
2,0.92884,12,20,0,250,112,0.16,0.158
-9,5.3558,14,20,0,250,112,0.16,0.158
-8,5.8596,14,20,0,250,112,0.16,0.158
-7,6.332999999999998,14,20,0,250,112,0.16,0.158
-6,6.778,14,20,0,250,112,0.16,0.158
-5,7.1259,14,20,0,250,112,0.16,0.158
-4,7.3487,14,20,0,250,112,0.16,0.158
-3,7.2554,14,20,0,250,112,0.16,0.158
-2,6.952000000000001,14,20,0,250,112,0.16,0.158
-1,5.9,14,20,0,250,112,0.16,0.158
0,4.7963,14,20,0,250,112,0.16,0.158
1,4.3512,14,20,0,250,112,0.16,0.158
2,1.0722,14,20,0,250,112,0.16,0.158
-9,5.3068,16,20,0,250,112,0.16,0.158
-8,5.7125,16,20,0,250,112,0.16,0.158
-7,6.2527,16,20,0,250,112,0.16,0.158
-6,6.697,16,20,0,250,112,0.16,0.158
-5,7.0419,16,20,0,250,112,0.16,0.158
-4,7.1845,16,20,0,250,112,0.16,0.158
-3,7.341,16,20,0,250,112,0.16,0.158
-2,6.9065,16,20,0,250,112,0.16,0.158
-1,6.1203,16,20,0,250,112,0.16,0.158
0,5.4875,16,20,0,250,112,0.16,0.158
1,4.4116,16,20,0,250,112,0.16,0.158
2,2.3341,16,20,0,250,112,0.16,0.158
-9,5.2001,18,20,0,250,112,0.16,0.158
-8,5.675,18,20,0,250,112,0.16,0.158
-7,6.146,18,20,0,250,112,0.16,0.158
-6,6.4093,18,20,0,250,112,0.16,0.158
-5,6.8664,18,20,0,250,112,0.16,0.158
-4,7.2248,18,20,0,250,112,0.16,0.158
-3,7.2522,18,20,0,250,112,0.16,0.158
-2,7.2134,18,20,0,250,112,0.16,0.158
-1,6.7746,18,20,0,250,112,0.16,0.158
0,5.6261,18,20,0,250,112,0.16,0.158
1,4.258,18,20,0,250,112,0.16,0.158
2,3.3235,18,20,0,250,112,0.16,0.158
-9,5.0955,20,20,0,250,112,0.16,0.158
-8,5.5004,20,20,0,250,112,0.16,0.158
-7,5.8238,20,20,0,250,112,0.16,0.158
-6,6.3767,20,20,0,250,112,0.16,0.158
-5,6.6937,20,20,0,250,112,0.16,0.158
-4,7.0238,20,20,0,250,112,0.16,0.158
-3,7.2416,20,20,0,250,112,0.16,0.158
-2,7.2501,20,20,0,250,112,0.16,0.158
-1,6.9192,20,20,0,250,112,0.16,0.158
0,6.4291,20,20,0,250,112,0.16,0.158
1,5.1962,20,20,0,250,112,0.16,0.158
2,3.4521,20,20,0,250,112,0.16,0.158
