Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
0.0,0,1,250,112,0.16,0.158,25
0.0,0,2,250,112,0.16,0.158,25
0.0,0,-9,250,112,0.16,0.158,25
0.0,0,-8,250,112,0.16,0.158,25
0.0,0,-7,250,112,0.16,0.158,25
0.0,0,-6,250,112,0.16,0.158,25
0.0,0,-5,250,112,0.16,0.158,25
0.0,0,-4,250,112,0.16,0.158,25
0.0,0,-2,250,112,0.16,0.158,25
2.5,0,-9,250,112,0.16,0.158,25
2.5,0,-8,250,112,0.16,0.158,25
2.5,0,-7,250,112,0.16,0.158,25
2.5,0,-6,250,112,0.16,0.158,25
2.5,0,-5,250,112,0.16,0.158,25
2.5,0,-4,250,112,0.16,0.158,25
2.5,0,-3,250,112,0.16,0.158,25
2.5,0,-2,250,112,0.16,0.158,25
2.5,0,-1,250,112,0.16,0.158,25
2.5,0,0,250,112,0.16,0.158,25
2.5,0,1,250,112,0.16,0.158,25
2.5,0,2,250,112,0.16,0.158,25
5.0,0,-9,250,112,0.16,0.158,25
5.0,0,-8,250,112,0.16,0.158,25
5.0,0,-7,250,112,0.16,0.158,25
5.0,0,-6,250,112,0.16,0.158,25
5.0,0,-5,250,112,0.16,0.158,25
5.0,0,-3,250,112,0.16,0.158,25
5.0,0,2,250,112,0.16,0.158,25
7.5,0,-9,250,112,0.16,0.158,25
7.5,0,-7,250,112,0.16,0.158,25
7.5,0,-4,250,112,0.16,0.158,25
7.5,0,-3,250,112,0.16,0.158,25
7.5,0,-1,250,112,0.16,0.158,25
7.5,0,0,250,112,0.16,0.158,25
7.5,0,1,250,112,0.16,0.158,25
7.5,0,2,250,112,0.16,0.158,25
10.0,0,-9,250,112,0.16,0.158,25
