Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-1.6198,1,0.0,0.158,25,0,250,112,0.16
-1.6840000000000002,2,0.0,0.158,25,0,250,112,0.16
1.7239,0,0.0,0.158,25,0,250,112,0.16
3.8158,-1,0.0,0.158,25,0,250,112,0.16
4.5612,-2,0.0,0.158,25,0,250,112,0.16
5.8806,-9,0.0,0.158,25,0,250,112,0.16
6.5031,-8,0.0,0.158,25,0,250,112,0.16
6.5099,-3,0.0,0.158,25,0,250,112,0.16
7.0923,-7,0.0,0.158,25,0,250,112,0.16
7.3069,-4,0.0,0.158,25,0,250,112,0.16
7.4954,-6,0.0,0.158,25,0,250,112,0.16
7.5038,-5,0.0,0.158,25,0,250,112,0.16
1.0973,2,10.0,0.158,25,0,250,112,0.16
1.9571,1,10.0,0.158,25,0,250,112,0.16
4.4639999999999995,0,10.0,0.158,25,0,250,112,0.16
5.7142,-9,10.0,0.158,25,0,250,112,0.16
5.9534,-1,10.0,0.158,25,0,250,112,0.16
6.2769,-8,10.0,0.158,25,0,250,112,0.16
6.9164,-7,10.0,0.158,25,0,250,112,0.16
7.0087,-2,10.0,0.158,25,0,250,112,0.16
7.2874,-6,10.0,0.158,25,0,250,112,0.16
7.3399,-3,10.0,0.158,25,0,250,112,0.16
7.6623,-4,10.0,0.158,25,0,250,112,0.16
7.7008,-5,10.0,0.158,25,0,250,112,0.16
1.2805,2,12.5,0.158,25,0,250,112,0.16
2.7577,1,12.5,0.158,25,0,250,112,0.16
5.2189,0,12.5,0.158,25,0,250,112,0.16
5.414,-1,12.5,0.158,25,0,250,112,0.16
5.5785,-9,12.5,0.158,25,0,250,112,0.16
6.1315,-8,12.5,0.158,25,0,250,112,0.16
6.4093,-2,12.5,0.158,25,0,250,112,0.16
6.6338,-7,12.5,0.158,25,0,250,112,0.16
7.1989,-6,12.5,0.158,25,0,250,112,0.16
7.505,-5,12.5,0.158,25,0,250,112,0.16
7.5502,-3,12.5,0.158,25,0,250,112,0.16
7.5977,-4,12.5,0.158,25,0,250,112,0.16
2.6889999999999996,2,15.0,0.158,25,0,250,112,0.16
3.8398,1,15.0,0.158,25,0,250,112,0.16
4.8547,0,15.0,0.158,25,0,250,112,0.16
5.4784,-9,15.0,0.158,25,0,250,112,0.16
5.6017,-1,15.0,0.158,25,0,250,112,0.16
6.0078,-8,15.0,0.158,25,0,250,112,0.16
6.5031,-7,15.0,0.158,25,0,250,112,0.16
6.989,-6,15.0,0.158,25,0,250,112,0.16
7.0777,-2,15.0,0.158,25,0,250,112,0.16
7.4132,-5,15.0,0.158,25,0,250,112,0.16
7.5268,-4,15.0,0.158,25,0,250,112,0.16
7.57,-3,15.0,0.158,25,0,250,112,0.16
2.4198,2,17.5,0.158,25,0,250,112,0.16
4.6286,1,17.5,0.158,25,0,250,112,0.16
5.402,-9,17.5,0.158,25,0,250,112,0.16
5.9294,-8,17.5,0.158,25,0,250,112,0.16
5.9528,0,17.5,0.158,25,0,250,112,0.16
6.3104,-7,17.5,0.158,25,0,250,112,0.16
6.7755,-1,17.5,0.158,25,0,250,112,0.16
6.8471,-6,17.5,0.158,25,0,250,112,0.16
7.154,-5,17.5,0.158,25,0,250,112,0.16
7.2416,-2,17.5,0.158,25,0,250,112,0.16
7.3655,-3,17.5,0.158,25,0,250,112,0.16
7.4155,-4,17.5,0.158,25,0,250,112,0.16
-2.0549,2,2.5,0.158,25,0,250,112,0.16
0.16806,1,2.5,0.158,25,0,250,112,0.16
