SNR (dB),BER,SNR (dB),BER
6.14416476,0.132007152,6.343283582,0.100475457
6.672768879,0.124246563,6.686567164,0.093428859
7.233409611,0.116942212,7.223880597,0.08078359
7.729977117,0.108178313,7.626865672,0.0715635
8.258581236,0.101818601,8.164179104,0.060395886
8.739130435,0.095832771,8.582089552,0.051384475
9.33180778,0.088650859,9.059701493,0.042327381
9.828375286,0.084164487,9.447761194,0.03514954
10.40503432,0.078533832,9.955223881,0.028721052
10.85354691,0.074559455,10.35820896,0.024435707
11.38215103,0.068377405,10.80597015,0.020456528
11.91075515,0.064917016,11.31343284,0.016447318
12.45537757,0.059021389,11.67164179,0.014106797
13,0.053198733,12.05970149,0.011250784
13.49656751,0.049639706,12.43283582,0.008687646
14.00915332,0.0459196,12.80597015,0.006547795
14.53775744,0.041749279,13.13432836,0.005138447
15.08237986,0.038287664,13.31343284,0.004198679
15.59496568,0.035418304,13.58208955,0.003321683
16.07551487,0.031924171,13.91044776,0.002503521
16.60411899,0.029024885,14.14925373,0.001948854
17.11670481,0.025712503,14.50746269,0.00141068
17.61327231,0.023377347,14.92537313,0.000972803
18.15789474,0.021813389,15.47761194,0.000676286
18.62242563,0.019661426,15.89552239,0.00050971
19.13501144,0.017721761,,
19.64759725,0.015429885,,
