SNR (dB),BER,SNR (dB) MMSE,BER MMSE,SNR (dB) DNN,BER DNN
6.044776119,0.14927594,6.074626866,0.132238598,6.343283582,0.100475457
6.268656716,0.145701325,6.208955224,0.129071965,6.686567164,0.093428859
6.52238806,0.141067969,6.402985075,0.125981161,7.223880597,0.08078359
6.865671642,0.137689904,6.611940299,0.12296437,7.626865672,0.0715635
7.194029851,0.139932837,6.76119403,0.120993418,8.164179104,0.060395886
7.567164179,0.137689904,6.910447761,0.118096066,8.582089552,0.051384475
7.805970149,0.136581955,7.089552239,0.116203146,9.059701493,0.042327381
8.164179104,0.134392731,7.268656716,0.115268095,9.447761194,0.03514954
8.447761194,0.133311314,7.447761194,0.112507843,9.955223881,0.028721052
8.776119403,0.131174514,7.597014925,0.109813689,10.35820896,0.024435707
9.044776119,0.129071965,7.835820896,0.108053525,10.80597015,0.020456528
9.402985075,0.128033362,8.029850746,0.104617383,11.31343284,0.016447318
9.686567164,0.125981161,8.253731343,0.101290511,11.67164179,0.014106797
10,0.124967429,8.47761194,0.098069436,12.05970149,0.011250784
10.34328358,0.125981161,9.298507463,0.0897299,12.43283582,0.008687646
10.71641791,0.123961854,9.567164179,0.086876456,12.80597015,0.006547795
11.07462687,0.124967429,9.805970149,0.084796081,13.13432836,0.005138447
11.44776119,0.127003116,10.04477612,0.081438904,13.31343284,0.004198679
11.80597015,0.128033362,10.34328358,0.078849117,13.58208955,0.003321683
12.07462687,0.127003116,10.6119403,0.075118032,13.91044776,0.002503521
12.32835821,0.124967429,10.86567164,0.073913992,14.14925373,0.001948854
12.62686567,0.121974913,11.11940299,0.07098765,14.50746269,0.00141068
13,0.119054058,11.3880597,0.069287754,14.92537313,0.000972803
13.37313433,0.121974913,11.65671642,0.066009106,15.47761194,0.000676286
13.76119403,0.123961854,11.92537313,0.063395728,15.89552239,0.00050971
14.19402985,0.124967429,12.19402985,0.060395886,,
14.64179104,0.125981161,12.43283582,0.058949625,,
14.97014925,0.127003116,12.67164179,0.05616017,,
15.29850746,0.127003116,12.94029851,0.053936722,,
15.55223881,0.127003116,13.20895522,0.051801304,,
15.79104478,0.128033362,13.44776119,0.050154003,,
16.11940299,0.124967429,13.74626866,0.047780751,,
16.50746269,0.124967429,14,0.045889055,,
16.80597015,0.12296437,14.23880597,0.043717617,,
17.25373134,0.12296437,14.50746269,0.041986785,,
17.79104478,0.123961854,14.79104478,0.040324479,,
18.14925373,0.121974913,15.01492537,0.038727985,,
18.52238806,0.12296437,15.26865672,0.036895404,,
18.88059701,0.120993418,15.50746269,0.035722117,,
19.26865672,0.12296437,15.79104478,0.033216834,,
19.73134328,0.120993418,16.02985075,0.031390399,,
,,16.31343284,0.030392173,,
,,16.56716418,0.028721052,,
,,16.79104478,0.026706772,,
,,17.04477612,0.025443026,,
,,17.34328358,0.024435707,,
,,17.65671642,0.023092104,,
,,17.8358209,0.022539132,,
,,18.14925373,0.021472596,,
,,18.32835821,0.020622471,,
,,18.62686567,0.019966668,,
,,18.86567164,0.018716965,,
,,19.13432836,0.017687808,,
,,19.37313433,0.016580738,,
,,19.6119403,0.015669042,,
,,19.8358209,0.014688325,,
